Objects,Architecture,Effects,Resolution,Time
260000,GPU,xx-xx-xx,1920x1080,53.10
16000,CPU,AA-xx-xx,1280x720,37.42
16000,GPU,AA-xx-xx,1280x720,16.29
4000,CPU,AA-TR-RE,1280x720,40.69
4000,GPU,AA-TR-RE,1440x900,31.95
16000,CPU,AA-TR-xx,1280x720,65.55
65000,APU,xx-TR-RE,1920x1080,29.67
16000,CPU,AA-xx-RE,1440x900,71.07
260000,GPU,xx-xx-RE,1920x1080,103.65
65000,CPU,AA-TR-RE,1440x900,234.68
1000,GPU,AA-xx-xx,1280x720,3.42
4000,CPU,AA-TR-RE,1920x1080,64.08
65000,CPU,AA-xx-xx,1440x900,89.79
16000,CPU,AA-TR-xx,1920x1080,104.09
260000,GPU,AA-TR-RE,1920x1080,1265.52
16000,GPU,xx-TR-xx,1440x900,10.33
1000,APU,AA-TR-xx,1920x1080,7.94
260000,APU,AA-TR-xx,1440x900,76.67
4000,GPU,AA-TR-xx,1920x1080,19.61
260000,GPU,AA-xx-RE,1280x720,352.05
260000,CPU,AA-TR-RE,1920x1080,633.64
260000,CPU,xx-xx-RE,1280x720,48.90
260000,CPU,xx-TR-RE,1440x900,104.20
16000,GPU,AA-xx-RE,1280x720,41.22
1000,GPU,xx-xx-xx,1440x900,1.24
4000,CPU,xx-TR-xx,1280x720,6.87
1000,CPU,AA-TR-RE,1920x1080,28.88
16000,APU,AA-TR-xx,1280x720,19.15
1000,GPU,xx-TR-xx,1440x900,1.56
16000,APU,xx-TR-RE,1280x720,10.50
4000,GPU,xx-TR-xx,1280x720,3.28
65000,APU,AA-TR-RE,1440x900,110.86
1000,GPU,xx-TR-xx,1440x900,1.41
16000,CPU,xx-xx-xx,1440x900,10.12
4000,APU,AA-TR-RE,1440x900,20.43
16000,APU,AA-xx-xx,1280x720,9.98
16000,GPU,AA-TR-xx,1920x1080,56.69
1000,APU,xx-xx-RE,1440x900,3.87
16000,CPU,xx-TR-xx,1920x1080,20.97
16000,GPU,xx-xx-xx,1280x720,3.63
65000,CPU,AA-TR-xx,1280x720,105.63
260000,CPU,xx-xx-RE,1920x1080,74.18
16000,CPU,AA-xx-RE,1440x900,71.10
4000,APU,AA-TR-RE,1440x900,21.18
16000,APU,xx-TR-RE,1920x1080,15.48
4000,GPU,AA-TR-RE,1920x1080,35.49
260000,CPU,AA-xx-RE,1280x720,239.26
4000,GPU,AA-TR-RE,1440x900,32.10
260000,CPU,AA-xx-RE,1920x1080,365.51
260000,GPU,xx-TR-RE,1280x720,170.04
1000,CPU,AA-xx-xx,1440x900,19.51
1000,APU,AA-TR-xx,1440x900,7.30
1000,GPU,xx-xx-RE,1920x1080,1.59
260000,GPU,AA-TR-xx,1280x720,322.71
260000,CPU,AA-xx-xx,1920x1080,272.73
1000,APU,xx-xx-RE,1440x900,4.02
16000,GPU,AA-TR-xx,1920x1080,56.42
260000,APU,xx-xx-RE,1440x900,23.98
65000,GPU,AA-TR-RE,1920x1080,458.56
260000,APU,AA-TR-xx,1280x720,66.94
65000,GPU,AA-xx-xx,1280x720,49.36
1000,APU,AA-TR-xx,1280x720,7.11
4000,APU,AA-xx-RE,1920x1080,15.03
65000,GPU,AA-TR-xx,1440x900,120.73
16000,GPU,AA-xx-RE,1440x900,54.56
16000,GPU,xx-xx-xx,1920x1080,5.39
16000,GPU,AA-TR-RE,1440x900,141.09
16000,GPU,AA-TR-xx,1280x720,42.31
65000,CPU,AA-xx-xx,1440x900,89.85
16000,APU,AA-TR-xx,1920x1080,26.15
4000,APU,xx-TR-xx,1920x1080,5.88
1000,GPU,xx-TR-xx,1280x720,1.41
16000,CPU,xx-TR-xx,1280x720,13.21
65000,GPU,AA-xx-RE,1920x1080,167.97
65000,GPU,xx-TR-RE,1280x720,58.02
4000,GPU,xx-TR-xx,1280x720,3.14
1000,APU,xx-xx-RE,1280x720,3.62
65000,APU,AA-TR-xx,1920x1080,43.95
260000,APU,xx-xx-RE,1280x720,19.76
65000,GPU,xx-xx-xx,1440x900,12.55
4000,CPU,xx-TR-RE,1920x1080,12.86
1000,CPU,xx-TR-RE,1440x900,4.92
16000,APU,xx-TR-xx,1280x720,6.46
260000,APU,AA-xx-RE,1920x1080,124.42
260000,GPU,AA-TR-RE,1920x1080,1266.53
260000,GPU,xx-TR-RE,1440x900,213.21
260000,APU,xx-TR-xx,1440x900,19.01
4000,GPU,xx-TR-xx,1280x720,3.31
4000,GPU,AA-xx-xx,1440x900,9.47
65000,GPU,xx-TR-xx,1920x1080,28.05
4000,GPU,xx-xx-xx,1440x900,2.24
260000,APU,xx-TR-RE,1440x900,52.81
1000,GPU,AA-TR-RE,1280x720,6.79
4000,CPU,AA-xx-RE,1280x720,28.60
1000,GPU,xx-TR-RE,1280x720,1.54
16000,CPU,AA-xx-xx,1440x900,50.16
1000,CPU,AA-xx-RE,1920x1080,25.41
